wkt_geom,id,address,describe,Notes
"MultiLineString ((-121.89668370746090886 37.10588693068061872, -121.89662637685813706 37.10595889888409715, -121.89654952945441835 37.10601622948686895, -121.89644340684928636 37.10605892248893412, -121.896389735646693 37.10607721948981919, -121.89632874564374276 37.1060857580902308, -121.89625311804007879 37.10605404328870094, -121.89616651223589372 37.10598817408551042, -121.89627507444113519 37.10590034848126351, -121.8963519218448539 37.10596743748450876, -121.89624701903979087 37.1060503838885225))",,26700 Havenhill,large parking area adjacent to house and water resources,
"MultiLineString ((-121.8865356032762719 37.10493021252207058, -121.88657790106870493 37.10484781192695891, -121.88583590532664402 37.10421897640321731, -121.885977295379206 37.10396575347402859, -121.88553381944612397 37.10407631176460086, -121.88583590532664402 37.10421897640321731))",0,26500 Loma Prieta Way,Open Field,
"MultiLineString ((-121.89025394857161189 37.10359319671057676, -121.89011315040866634 37.10348372389145055, -121.88992308285115485 37.10347428543469306, -121.89006893946363164 37.1030689067351318, -121.89001818637871111 37.1026951167369532, -121.88984229077779275 37.10266210994264924, -121.88970474810297162 37.10272809504281355, -121.88968652932939563 37.10292720847855463, -121.88979920266608303 37.10309551539929629, -121.88965771873077415 37.10334289433345845, -121.88930274252213337 37.10349921356594649, -121.88876283163112646 37.10352903227541788, -121.88852565930923788 37.1037365978641418, -121.88835598054910747 37.10364501589864972, -121.88860034664295995 37.10343151525295724, -121.88877013358477086 37.10352894547783364))",1,26186 Mt Bache,Private Driveway with Gate,Permission for public disclosure
"MultiLineString ((-121.89660414059090954 37.10220707934086448, -121.8960067059202288 37.10150053072404575, -121.8953469355252679 37.10136801477990787, -121.89475440659268202 37.10131659110777491, -121.89438496796037725 37.10108700475926469, -121.89392419888959296 37.10105155395392984, -121.89392724431547776 37.10121531502250747, -121.89425897674874477 37.10138100382668824, -121.8948317773502481 37.10154966371902674, -121.89501115575515655 37.10176981847821764, -121.89509353522792878 37.10227192692092757, -121.8950032921070914 37.10252455056897958, -121.8948887482179515 37.10264876629531727, -121.89486956366182824 37.10279524305789778, -121.89503968387464283 37.10291020999722633, -121.89572257603516903 37.10271485669623104, -121.89620962462521447 37.10220009497869853, -121.89595733647448128 37.10159471918735363, -121.89601455231142779 37.10152968651230765))",2,25969 Mar Vista Court,Private Driveway,Permission for public disclosure
"MultiLineString ((-121.8936639295561406 37.10433645705860783, -121.89371821312911948 37.10411351302481364, -121.89354133391522339 37.10402787430587068, -121.89388757320085688 37.10418754137379693))",3,25665 Mt Bache,Private T-shaped Driveway,Permission for public disclosure
"MultiLineString ((-121.87568473155877768 37.10196273109810505, -121.87562988327053404 37.10205392306399119, -121.8753568431403238 37.10223319961837518, -121.87539719270496619 37.10237860447873715, -121.87559996321871836 37.10247682397451285, -121.87563449598550847 37.10264744895337685, -121.87576219740755334 37.1027616430877103, -121.87566330380778368 37.10284832337982408, -121.87520032817327831 37.10260225690223024, -121.87519118881687064 37.10244642392883208, -121.87521445892997463 37.10234554320991407, -121.87536940089903226 37.1022330517839265))",4,27055 Loma Prieta Way,Private Driveway,Permission for public disclosure
"MultiLineString ((-121.88072605313571728 37.10504747984215612, -121.87971437814758247 37.10604286358132953, -121.87976822246832853 37.10623841115526034, -121.88026595656116058 37.10649411006836118, -121.88035682016808892 37.10648297591124845, -121.88041208276973748 37.10641441334368551, -121.8803920409564796 37.10634925564946229, -121.88014848511990351 37.10625404122639281, -121.87976494398733962 37.10623090435551319))",5,26985 Loma Prieta Way,Loma Prieta Winery Drive and Parking,
"MultiLineString ((-121.89055290316157709 37.10532907088722254, -121.89061044359964114 37.10531356451331675, -121.89072203335959443 37.10534373200256653, -121.89091936187332976 37.10538214214490438, -121.89111382790960647 37.10539094299867457, -121.89124775337052142 37.10537823217181597, -121.89131685678034955 37.10536258775803731, -121.89133377602689734 37.10527716253104558, -121.89130475248074958 37.1052089586244449, -121.89115782032038737 37.1051440114119373, -121.89091185880072032 37.10510247528533512, -121.89070828058150653 37.10510119332935375, -121.89061884494292087 37.10514301704871087, -121.89060809661900464 37.10531173975810759))",6,26179 Loma Prieta,Circular Driveway,
"MultiLineString ((-121.89131719739832249 37.10536164793176539, -121.89136896922049402 37.10533898963750943, -121.89144202959771235 37.10523627140838698, -121.89153214599629393 37.10523443806895472, -121.8916206470850625 37.10524782511512143, -121.89160853572504095 37.10531105441619815, -121.89156200498722171 37.1053093284496569, -121.89153118314609969 37.10523368947600886))",8,26183 Loma Prieta,Paved open space next to water tank,Permission for public disclosure
"MultiLineString ((-121.89500717256994733 37.10291407543869724, -121.89446726669375209 37.10312850614130298, -121.89397713937351853 37.10300597431124459, -121.89388906962066983 37.10289110072056218, -121.8935521070880128 37.10281834744646545, -121.89353679060924662 37.10270730297547459, -121.89361720212272644 37.10234353660499096, -121.89370527187557514 37.10231673276716435, -121.89367080979837965 37.10226312509151114, -121.89361720212272644 37.10228992892933775, -121.89360954388334335 37.1023473657246754))",9,25973 Mar Vista,"Private Driveway, 25' radius, level, compacted earth",
"MultiLineString ((-121.88198940467188436 37.10532030689483207, -121.88206689377230418 37.105397795995259, -121.8827806091709931 37.10530399340000685, -121.88322923027872946 37.10541410949008423, -121.88350248131708042 37.10590351433489786, -121.88322107353131685 37.10595245481937354, -121.88341275709552747 37.10637660568487917, -121.88335565986363918 37.10656421087538348, -121.88282547128176247 37.10706585084131603, -121.88221371522575964 37.10706992921502234, -121.88149999982707072 37.1068129916714966, -121.88147145121112658 37.10648264340125024, -121.88155709705897323 37.10652750551202672, -121.88147960795853919 37.10660907298615996, -121.88127976764691596 37.10649487852236916))",10,980 Rancho Prieta,"Private gated driveway with CALFIRE knox box for access, battery back-up system",
